time[sec],omega_t_b(X)[rad/s],omega_t_b(Y)[rad/s],omega_t_b(Z)[rad/s],q_t_i2b(0)[-],q_t_i2b(1)[-],q_t_i2b(2)[-],q_t_i2b(3)[-],torque_t_b(X)[Nm],torque_t_b(Y)[Nm],torque_t_b(Z)[Nm],h_total[Nms],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],lat[rad],lon[rad],alt[m],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],
150.5,0.000279777,-0.000818632,0.000284855,0.0106662,-0.0307905,0.0106053,0.999413,1.74598e-07,-5.44274e-07,1.95716e-07,9.1081e-05,247883,-1.10279e+06,7.14148e+06,-7397.87,505.4,334.172,-7351.16,673.758,775.985,1.41473,0.812338,873103,-247883,1.10279e+06,-7.14148e+06,7397.87,-505.4,-334.172,-665842,960121,-7.13535e+06,7351.16,-673.758,-775.985,-5.23743e+10,-1.26515e+11,-5.48525e+10,35721.4,-10099.5,-4493.5,-5.82503e+10,-1.26447e+11,-4.87446e+10,35160.6,-10968.5,-6452.42,0.00218201,-0.00307776,0.00351003,
151,0.00028065,-0.000821353,0.000285833,0.0107361,-0.0309954,0.0106765,0.999405,1.74461e-07,-5.44276e-07,1.95755e-07,9.1383e-05,244184,-1.10254e+06,7.14165e+06,-7398,505.979,330.416,-7351.09,675.418,775.151,1.41488,0.809155,873103,-244184,1.10254e+06,-7.14165e+06,7398,-505.979,-330.416,-664955,958879,-7.13559e+06,7351.09,-675.418,-775.151,-5.23743e+10,-1.26515e+11,-5.48525e+10,35721.5,-10100.1,-4489.74,-5.82883e+10,-1.26445e+11,-4.8703e+10,35156.7,-10974.9,-6461.55,0.000500684,-0.00310158,0.00219059,
151.5,0.000281522,-0.000824074,0.000286812,0.0108064,-0.031201,0.010748,0.999397,1.74324e-07,-5.44279e-07,1.95794e-07,9.1685e-05,240485,-1.10229e+06,7.14181e+06,-7398.13,506.557,326.659,-7351.02,677.082,774.327,1.41503,0.805965,873104,-240485,1.10229e+06,-7.14181e+06,7398.13,-506.557,-326.659,-664078,957633,-7.13584e+06,7351.02,-677.082,-774.327,-5.23743e+10,-1.26515e+11,-5.48525e+10,35721.6,-10100.6,-4485.98,-5.83264e+10,-1.26444e+11,-4.86613e+10,35152.8,-10981.3,-6470.71,0.0013695,-0.00199071,0.00434129,
152,0.000282394,-0.000826796,0.000287791,0.0108768,-0.0314073,0.0108198,0.999389,1.74186e-07,-5.44281e-07,1.95832e-07,9.1987e-05,236786,-1.10203e+06,7.14197e+06,-7398.25,507.136,322.903,-7350.96,678.749,773.512,1.41517,0.802771,873105,-236786,1.10203e+06,-7.14197e+06,7398.25,-507.136,-322.903,-663210,956384,-7.13609e+06,7350.96,-678.749,-773.512,-5.23743e+10,-1.26515e+11,-5.48525e+10,35721.8,-10101.2,-4482.22,-5.83647e+10,-1.26442e+11,-4.86194e+10,35148.9,-10987.8,-6479.92,0.000659999,-0.00437907,0.00158056,
152.5,0.000283264,-0.000829517,0.000288771,0.0109474,-0.0316142,0.0108918,0.999381,1.74047e-07,-5.44284e-07,1.9587e-07,9.2289e-05,233087,-1.10178e+06,7.14213e+06,-7398.38,507.714,319.146,-7350.89,680.419,772.705,1.41531,0.79957,873105,-233087,1.10178e+06,-7.14213e+06,7398.38,-507.714,-319.146,-662352,955130,-7.13634e+06,7350.89,-680.419,-772.705,-5.23743e+10,-1.26515e+11,-5.48525e+10,35721.9,-10101.8,-4478.46,-5.8403e+10,-1.26441e+11,-4.85773e+10,35145,-10994.3,-6489.16,0.00194049,-0.00129845,0.00290899,
153,0.000284134,-0.000832239,0.00028975,0.0110183,-0.0318218,0.010964,0.999373,1.73907e-07,-5.44286e-07,1.95907e-07,9.25909e-05,229388,-1.10153e+06,7.14229e+06,-7398.5,508.292,315.389,-7350.82,682.093,771.909,1.41545,0.796364,873106,-229388,1.10153e+06,-7.14229e+06,7398.5,-508.292,-315.389,-661503,953873,-7.13659e+06,7350.82,-682.093,-771.909,-5.23742e+10,-1.26515e+11,-5.48525e+10,35722,-10102.4,-4474.71,-5.84414e+10,-1.26439e+11,-4.85351e+10,35141.1,-11000.8,-6498.45,0.00175583,-0.00122912,0.00157326,
153.5,0.000285003,-0.00083496,0.00029073,0.0110894,-0.0320301,0.0110365,0.999364,1.73766e-07,-5.44289e-07,1.95944e-07,9.28929e-05,225689,-1.10127e+06,7.14245e+06,-7398.62,508.87,311.632,-7350.74,683.769,771.122,1.41559,0.793152,873106,-225689,1.10127e+06,-7.14245e+06,7398.62,-508.87,-311.632,-660664,952612,-7.13683e+06,7350.74,-683.769,-771.122,-5.23742e+10,-1.26515e+11,-5.48526e+10,35722.1,-10102.9,-4470.95,-5.848e+10,-1.26438e+11,-4.84928e+10,35137.1,-11007.3,-6507.77,0.00256695,-0.00203307,0.00179057,
154,0.000285872,-0.000837681,0.000291709,0.0111606,-0.032239,0.0111092,0.999356,1.73624e-07,-5.44291e-07,1.95981e-07,9.31948e-05,221989,-1.10102e+06,7.1426e+06,-7398.73,509.447,307.875,-7350.67,685.449,770.343,1.41573,0.789934,873107,-221989,1.10102e+06,-7.1426e+06,7398.73,-509.447,-307.875,-659834,951347,-7.13708e+06,7350.67,-685.449,-770.343,-5.23742e+10,-1.26515e+11,-5.48526e+10,35722.2,-10103.5,-4467.19,-5.85186e+10,-1.26436e+11,-4.84503e+10,35133.1,-11013.8,-6517.14,9.96691e-05,-0.00152895,0.000647159,
154.5,0.00028674,-0.000840403,0.000292689,0.0112321,-0.0324487,0.0111822,0.999348,1.73482e-07,-5.44293e-07,1.96018e-07,9.34967e-05,218290,-1.10076e+06,7.14276e+06,-7398.85,510.025,304.118,-7350.59,687.132,769.575,1.41586,0.786711,873108,-218290,1.10076e+06,-7.14276e+06,7398.85,-510.025,-304.118,-659014,950079,-7.13732e+06,7350.59,-687.132,-769.575,-5.23742e+10,-1.26515e+11,-5.48526e+10,35722.4,-10104.1,-4463.43,-5.85574e+10,-1.26435e+11,-4.84076e+10,35129.1,-11020.4,-6526.54,0.00218443,-0.00211833,0.00116582,
155,0.000287607,-0.000843124,0.00029367,0.0113039,-0.032659,0.0112554,0.999339,1.73338e-07,-5.44296e-07,1.96054e-07,9.37986e-05,214590,-1.10051e+06,7.14291e+06,-7398.96,510.603,300.36,-7350.51,688.817,768.815,1.416,0.783483,873108,-214590,1.10051e+06,-7.14291e+06,7398.96,-510.603,-300.36,-658204,948807,-7.13756e+06,7350.51,-688.817,-768.815,-5.23742e+10,-1.26515e+11,-5.48526e+10,35722.5,-10104.7,-4459.67,-5.85963e+10,-1.26433e+11,-4.83648e+10,35125.1,-11027,-6535.99,0.000923043,-0.00212251,0.00137834,
155.5,0.000288473,-0.000845846,0.00029465,0.0113758,-0.03287,0.0113289,0.999331,1.73194e-07,-5.44298e-07,1.9609e-07,9.41005e-05,210891,-1.10025e+06,7.14306e+06,-7399.07,511.18,296.603,-7350.43,690.506,768.065,1.41613,0.780249,873109,-210891,1.10025e+06,-7.14306e+06,7399.07,-511.18,-296.603,-657403,947531,-7.13781e+06,7350.43,-690.506,-768.065,-5.23741e+10,-1.26515e+11,-5.48526e+10,35722.6,-10105.2,-4455.91,-5.86353e+10,-1.26431e+11,-4.83218e+10,35121.1,-11033.6,-6545.48,0.000886948,-0.00204093,0.00335184,
156,0.000289339,-0.000848567,0.00029563,0.011448,-0.0330817,0.0114026,0.999322,1.73049e-07,-5.44301e-07,1.96126e-07,9.44024e-05,207191,-1.1e+06,7.1432e+06,-7399.18,511.757,292.846,-7350.35,692.199,767.324,1.41626,0.777009,873109,-207191,1.1e+06,-7.1432e+06,7399.18,-511.757,-292.846,-656612,946251,-7.13805e+06,7350.35,-692.199,-767.324,-5.23741e+10,-1.26515e+11,-5.48526e+10,35722.7,-10105.8,-4452.16,-5.86744e+10,-1.2643e+11,-4.82787e+10,35117,-11040.2,-6555,0.00256962,-0.00176776,0.00268193,
156.5,0.000290204,-0.000851289,0.000296611,0.0115203,-0.0332941,0.0114765,0.999313,1.72903e-07,-5.44303e-07,1.96161e-07,9.47042e-05,203491,-1.09974e+06,7.14335e+06,-7399.29,512.334,289.088,-7350.27,693.894,766.593,1.41639,0.773764,873110,-203491,1.09974e+06,-7.14335e+06,7399.29,-512.334,-289.088,-655830,944967,-7.13829e+06,7350.27,-693.894,-766.593,-5.23741e+10,-1.26515e+11,-5.48526e+10,35722.8,-10106.4,-4448.4,-5.87136e+10,-1.26428e+11,-4.82355e+10,35113,-11046.9,-6564.57,0.00222164,-0.00202549,0.00226654,
157,0.000291068,-0.00085401,0.000297592,0.0115929,-0.0335071,0.0115507,0.999304,1.72756e-07,-5.44306e-07,1.96196e-07,9.50061e-05,199792,-1.09948e+06,7.14349e+06,-7399.4,512.911,285.331,-7350.18,695.593,765.871,1.41652,0.770514,873111,-199792,1.09948e+06,-7.14349e+06,7399.4,-512.911,-285.331,-655058,943680,-7.13853e+06,7350.18,-695.593,-765.871,-5.23741e+10,-1.26515e+11,-5.48526e+10,35722.9,-10107,-4444.64,-5.87529e+10,-1.26426e+11,-4.81921e+10,35108.9,-11053.5,-6574.18,0.000534602,-0.00188679,0.00221738,
157.5,0.000291932,-0.000856732,0.000298573,0.0116657,-0.0337208,0.0116251,0.999296,1.72608e-07,-5.44308e-07,1.9623e-07,9.53079e-05,196092,-1.09923e+06,7.14363e+06,-7399.5,513.488,281.573,-7350.09,697.294,765.157,1.41665,0.767258,873111,-196092,1.09923e+06,-7.14363e+06,7399.5,-513.488,-281.573,-654295,942389,-7.13877e+06,7350.09,-697.294,-765.157,-5.23741e+10,-1.26515e+11,-5.48526e+10,35723,-10107.5,-4440.88,-5.87923e+10,-1.26424e+11,-4.81485e+10,35104.7,-11060.2,-6583.82,-0.0001123,-0.00298677,0.00448976,
158,0.000292794,-0.000859453,0.000299554,0.0117387,-0.0339352,0.0116998,0.999287,1.7246e-07,-5.44311e-07,1.96264e-07,9.56097e-05,192392,-1.09897e+06,7.14377e+06,-7399.6,514.065,277.816,-7350.01,698.999,764.454,1.41677,0.763998,873112,-192392,1.09897e+06,-7.14377e+06,7399.6,-514.065,-277.816,-653542,941094,-7.13901e+06,7350.01,-698.999,-764.454,-5.23741e+10,-1.26515e+11,-5.48526e+10,35723.1,-10108.1,-4437.12,-5.88319e+10,-1.26423e+11,-4.81048e+10,35100.6,-11066.9,-6593.51,0.00330943,-0.00175853,0.00275394,
158.5,0.000293656,-0.000862175,0.000300536,0.0118119,-0.0341503,0.0117747,0.999278,1.7231e-07,-5.44313e-07,1.96298e-07,9.59115e-05,188693,-1.09871e+06,7.14391e+06,-7399.7,514.641,274.058,-7349.92,700.707,763.759,1.41689,0.760732,873112,-188693,1.09871e+06,-7.14391e+06,7399.7,-514.641,-274.058,-652799,939795,-7.13925e+06,7349.92,-700.707,-763.759,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.2,-10108.7,-4433.36,-5.88715e+10,-1.26421e+11,-4.80609e+10,35096.5,-11073.6,-6603.24,0.00376279,-0.00406467,0.0042551,
159,0.000294518,-0.000864897,0.000301517,0.0118854,-0.034366,0.0118499,0.999268,1.7216e-07,-5.44315e-07,1.96332e-07,9.62133e-05,184993,-1.09846e+06,7.14405e+06,-7399.8,515.218,270.3,-7349.82,702.418,763.075,1.41702,0.757461,873113,-184993,1.09846e+06,-7.14405e+06,7399.8,-515.218,-270.3,-652065,938493,-7.13949e+06,7349.82,-702.418,-763.075,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.3,-10109.3,-4429.6,-5.89113e+10,-1.26419e+11,-4.80169e+10,35092.3,-11080.4,-6613,0.00171694,-0.00191686,0.00213155,
159.5,0.000295378,-0.000867618,0.000302499,0.011959,-0.0345825,0.0119253,0.999259,1.72008e-07,-5.44318e-07,1.96365e-07,9.6515e-05,181293,-1.0982e+06,7.14418e+06,-7399.9,515.794,266.542,-7349.73,704.132,762.399,1.41714,0.754185,873113,-181293,1.0982e+06,-7.14418e+06,7399.9,-515.794,-266.542,-651341,937187,-7.13973e+06,7349.73,-704.132,-762.399,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.4,-10109.8,-4425.84,-5.89511e+10,-1.26417e+11,-4.79728e+10,35088.1,-11087.1,-6622.81,0.00032871,-0.000558717,0.0025255,
160,0.000296238,-0.00087034,0.000303481,0.0120329,-0.0347996,0.0120009,0.99925,1.71856e-07,-5.4432e-07,1.96397e-07,9.68168e-05,177593,-1.09794e+06,7.14432e+06,-7399.99,516.37,262.784,-7349.63,705.849,761.732,1.41725,0.750904,873114,-177593,1.09794e+06,-7.14432e+06,7399.99,-516.37,-262.784,-650626,935877,-7.13996e+06,7349.63,-705.849,-761.732,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.5,-10110.4,-4422.09,-5.89911e+10,-1.26415e+11,-4.79284e+10,35083.9,-11093.9,-6632.66,0.00081155,-0.00193264,0.00145952,
160.5,0.000297097,-0.000873061,0.000304463,0.012107,-0.0350173,0.0120768,0.99924,1.71703e-07,-5.44323e-07,1.9643e-07,9.71185e-05,173893,-1.09768e+06,7.14445e+06,-7400.08,516.946,259.026,-7349.54,707.57,761.075,1.41737,0.747618,873114,-173893,1.09768e+06,-7.14445e+06,7400.08,-516.946,-259.026,-649922,934563,-7.1402e+06,7349.54,-707.57,-761.075,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.6,-10111,-4418.33,-5.90312e+10,-1.26414e+11,-4.7884e+10,35079.6,-11100.7,-6642.55,0.00326727,-0.002259,0.00380322,
161,0.000297955,-0.000875783,0.000305445,0.0121813,-0.0352358,0.012153,0.999231,1.71549e-07,-5.44325e-07,1.96462e-07,9.74202e-05,170193,-1.09742e+06,7.14457e+06,-7400.17,517.522,255.268,-7349.44,709.293,760.427,1.41749,0.744328,873115,-170193,1.09742e+06,-7.14457e+06,7400.17,-517.522,-255.268,-649226,933246,-7.14043e+06,7349.44,-709.293,-760.427,-5.2374e+10,-1.26515e+11,-5.48526e+10,35723.7,-10111.6,-4414.57,-5.90714e+10,-1.26412e+11,-4.78394e+10,35075.4,-11107.6,-6652.47,0.000545011,-0.00261875,0.00162059,
161.5,0.000298812,-0.000878505,0.000306427,0.0122558,-0.0354549,0.0122294,0.999221,1.71394e-07,-5.44328e-07,1.96493e-07,9.77219e-05,166493,-1.09716e+06,7.1447e+06,-7400.26,518.098,251.51,-7349.34,711.02,759.788,1.4176,0.741032,873115,-166493,1.09716e+06,-7.1447e+06,7400.26,-518.098,-251.51,-648541,931925,-7.14067e+06,7349.34,-711.02,-759.788,-5.23739e+10,-1.26515e+11,-5.48526e+10,35723.8,-10112.1,-4410.81,-5.91116e+10,-1.2641e+11,-4.77946e+10,35071.1,-11114.4,-6662.44,0.00186539,-0.00208022,0.00153355,
162,0.000299669,-0.000881226,0.00030741,0.0123305,-0.0356748,0.012306,0.999212,1.71238e-07,-5.4433e-07,1.96524e-07,9.80236e-05,162792,-1.09691e+06,7.14483e+06,-7400.35,518.673,247.752,-7349.23,712.75,759.159,1.41771,0.737732,873116,-162792,1.09691e+06,-7.14483e+06,7400.35,-518.673,-247.752,-647864,930600,-7.1409e+06,7349.23,-712.75,-759.159,-5.23739e+10,-1.26515e+11,-5.48526e+10,35723.9,-10112.7,-4407.05,-5.9152e+10,-1.26408e+11,-4.77497e+10,35066.8,-11121.3,-6672.45,0.000466234,-0.00257965,0.00363732,
162.5,0.000300525,-0.000883948,0.000308393,0.0124054,-0.0358953,0.0123828,0.999202,1.71081e-07,-5.44332e-07,1.96555e-07,9.83252e-05,159092,-1.09665e+06,7.14495e+06,-7400.43,519.249,243.994,-7349.13,714.483,758.539,1.41782,0.734427,873116,-159092,1.09665e+06,-7.14495e+06,7400.43,-519.249,-243.994,-647198,929271,-7.14114e+06,7349.13,-714.483,-758.539,-5.23739e+10,-1.26515e+11,-5.48526e+10,35724,-10113.3,-4403.29,-5.91925e+10,-1.26406e+11,-4.77046e+10,35062.5,-11128.2,-6682.5,0.00258159,-0.00275912,0.00220111,
163,0.00030138,-0.00088667,0.000309375,0.0124806,-0.0361164,0.01246,0.999192,1.70924e-07,-5.44335e-07,1.96585e-07,9.86269e-05,155392,-1.09639e+06,7.14507e+06,-7400.52,519.824,240.235,-7349.02,716.219,757.928,1.41793,0.731117,873117,-155392,1.09639e+06,-7.14507e+06,7400.52,-519.824,-240.235,-646541,927939,-7.14137e+06,7349.02,-716.219,-757.928,-5.23739e+10,-1.26515e+11,-5.48526e+10,35724,-10113.9,-4399.53,-5.92332e+10,-1.26404e+11,-4.76593e+10,35058.1,-11135.1,-6692.58,0.00115733,-0.00239118,0.00304743,
163.5,0.000302234,-0.000889391,0.000310358,0.0125559,-0.0363383,0.0125373,0.999182,1.70765e-07,-5.44337e-07,1.96615e-07,9.89285e-05,151692,-1.09613e+06,7.14519e+06,-7400.6,520.399,236.477,-7348.92,717.958,757.326,1.41804,0.727802,873117,-151692,1.09613e+06,-7.14519e+06,7400.6,-520.399,-236.477,-645894,926603,-7.1416e+06,7348.92,-717.958,-757.326,-5.23739e+10,-1.26515e+11,-5.48526e+10,35724.1,-10114.4,-4395.77,-5.92739e+10,-1.26402e+11,-4.7614e+10,35053.8,-11142,-6702.71,-0.000179291,-0.000526991,0.0034342,
164,0.000303088,-0.000892113,0.000311342,0.0126315,-0.0365608,0.0126149,0.999172,1.70605e-07,-5.44339e-07,1.96645e-07,9.92301e-05,147991,-1.09587e+06,7.14531e+06,-7400.67,520.974,232.718,-7348.81,719.701,756.734,1.41814,0.724484,873118,-147991,1.09587e+06,-7.14531e+06,7400.67,-520.974,-232.718,-645256,925263,-7.14183e+06,7348.81,-719.701,-756.734,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.2,-10115,-4392.01,-5.93147e+10,-1.264e+11,-4.75684e+10,35049.4,-11148.9,-6712.88,0.000186194,-8.36607e-05,0.00267414,
164.5,0.000303941,-0.000894835,0.000312325,0.0127073,-0.036784,0.0126928,0.999162,1.70445e-07,-5.44342e-07,1.96674e-07,9.95317e-05,144291,-1.0956e+06,7.14542e+06,-7400.75,521.549,228.96,-7348.69,721.446,756.151,1.41825,0.72116,873118,-144291,1.0956e+06,-7.14542e+06,7400.75,-521.549,-228.96,-644628,923919,-7.14206e+06,7348.69,-721.446,-756.151,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.3,-10115.6,-4388.25,-5.93556e+10,-1.26398e+11,-4.75227e+10,35045,-11155.9,-6723.09,0.00167629,-0.00166562,0.00217337,
165,0.000304793,-0.000897556,0.000313308,0.0127833,-0.0370079,0.0127709,0.999152,1.70283e-07,-5.44344e-07,1.96703e-07,9.98333e-05,140591,-1.09534e+06,7.14554e+06,-7400.83,522.124,225.201,-7348.58,723.195,755.577,1.41835,0.717833,873118,-140591,1.09534e+06,-7.14554e+06,7400.83,-522.124,-225.201,-644010,922572,-7.14229e+06,7348.58,-723.195,-755.577,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.4,-10116.1,-4384.49,-5.93967e+10,-1.26396e+11,-4.74769e+10,35040.6,-11162.9,-6733.33,0.000978012,-0.00115049,0.00155177,
165.5,0.000305644,-0.000900278,0.000314292,0.0128595,-0.0372325,0.0128492,0.999141,1.70121e-07,-5.44347e-07,1.96731e-07,0.000100135,136890,-1.09508e+06,7.14565e+06,-7400.9,522.699,221.442,-7348.47,724.946,755.012,1.41845,0.714501,873119,-136890,1.09508e+06,-7.14565e+06,7400.9,-522.699,-221.442,-643401,921221,-7.14252e+06,7348.47,-724.946,-755.012,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.4,-10116.7,-4380.73,-5.94378e+10,-1.26394e+11,-4.74309e+10,35036.1,-11169.9,-6743.62,0.001502,-0.00298045,0.00287994,
166,0.000306494,-0.000903,0.000315276,0.0129359,-0.0374577,0.0129278,0.999131,1.69958e-07,-5.44349e-07,1.96759e-07,0.000100436,133190,-1.09482e+06,7.14576e+06,-7400.97,523.273,217.684,-7348.35,726.701,754.457,1.41855,0.711164,873119,-133190,1.09482e+06,-7.14576e+06,7400.97,-523.273,-217.684,-642802,919866,-7.14275e+06,7348.35,-726.701,-754.457,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.5,-10117.3,-4376.97,-5.94791e+10,-1.26392e+11,-4.73848e+10,35031.7,-11176.9,-6753.94,0.000508038,-0.00178576,0.00197896,
166.5,0.000307343,-0.000905722,0.000316259,0.0130125,-0.0376837,0.0130066,0.99912,1.69794e-07,-5.44351e-07,1.96786e-07,0.000100738,129489,-1.09456e+06,7.14586e+06,-7401.04,523.847,213.925,-7348.23,728.459,753.911,1.41865,0.707824,873120,-129489,1.09456e+06,-7.14586e+06,7401.04,-523.847,-213.925,-642213,918508,-7.14298e+06,7348.23,-728.459,-753.911,-5.23738e+10,-1.26515e+11,-5.48526e+10,35724.6,-10117.9,-4373.21,-5.95204e+10,-1.2639e+11,-4.73385e+10,35027.2,-11184,-6764.31,0.00171302,-0.00222977,0.00278633,
167,0.000308192,-0.000908443,0.000317243,0.0130894,-0.0379103,0.0130857,0.99911,1.69628e-07,-5.44354e-07,1.96813e-07,0.000101039,125789,-1.0943e+06,7.14597e+06,-7401.11,524.422,210.166,-7348.11,730.22,753.374,1.41874,0.704479,873120,-125789,1.0943e+06,-7.14597e+06,7401.11,-524.422,-210.166,-641633,917145,-7.1432e+06,7348.11,-730.22,-753.374,-5.23737e+10,-1.26515e+11,-5.48526e+10,35724.6,-10118.4,-4369.45,-5.95619e+10,-1.26388e+11,-4.7292e+10,35022.7,-11191,-6774.72,0.00103319,-0.0032444,0.00292137,
167.5,0.00030904,-0.000911165,0.000318228,0.0131664,-0.0381375,0.013165,0.999099,1.69462e-07,-5.44356e-07,1.9684e-07,0.000101341,122088,-1.09404e+06,7.14607e+06,-7401.17,524.996,206.407,-7347.99,731.984,752.846,1.41884,0.70113,873121,-122088,1.09404e+06,-7.14607e+06,7401.17,-524.996,-206.407,-641063,915779,-7.14343e+06,7347.99,-731.984,-752.846,-5.23737e+10,-1.26515e+11,-5.48526e+10,35724.7,-10119,-4365.69,-5.96034e+10,-1.26385e+11,-4.72454e+10,35018.2,-11198.1,-6785.16,0.00253971,-0.00232698,-0.00119062,
168,0.000309887,-0.000913887,0.000319212,0.0132437,-0.0383655,0.0132445,0.999088,1.69295e-07,-5.44358e-07,1.96866e-07,0.000101642,118387,-1.09377e+06,7.14618e+06,-7401.23,525.57,202.648,-7347.87,733.752,752.328,1.41893,0.697777,873121,-118387,1.09377e+06,-7.14618e+06,7401.23,-525.57,-202.648,-640502,914410,-7.14366e+06,7347.87,-733.752,-752.328,-5.23737e+10,-1.26515e+11,-5.48526e+10,35724.8,-10119.6,-4361.93,-5.96451e+10,-1.26383e+11,-4.71987e+10,35013.6,-11205.2,-6795.64,0.00219928,-0.00147749,0.00121113,
168.5,0.000310733,-0.000916609,0.000320196,0.0133212,-0.0385941,0.0133243,0.999077,1.69127e-07,-5.4436e-07,1.96891e-07,0.000101944,114687,-1.09351e+06,7.14628e+06,-7401.29,526.143,198.889,-7347.74,735.522,751.819,1.41902,0.69442,873121,-114687,1.09351e+06,-7.14628e+06,7401.29,-526.143,-198.889,-639952,913036,-7.14388e+06,7347.74,-735.522,-751.819,-5.23737e+10,-1.26515e+11,-5.48526e+10,35724.8,-10120.1,-4358.17,-5.96869e+10,-1.26381e+11,-4.71518e+10,35009.1,-11212.4,-6806.17,0.00145354,-0.00323043,0.00191471,
169,0.000311578,-0.000919331,0.000321181,0.0133988,-0.0388234,0.0134044,0.999066,1.68958e-07,-5.44363e-07,1.96916e-07,0.000102245,110986,-1.09325e+06,7.14638e+06,-7401.35,526.717,195.13,-7347.62,737.296,751.319,1.41911,0.691059,873122,-110986,1.09325e+06,-7.14638e+06,7401.35,-526.717,-195.13,-639410,911659,-7.1441e+06,7347.62,-737.296,-751.319,-5.23737e+10,-1.26515e+11,-5.48526e+10,35724.9,-10120.7,-4354.41,-5.97288e+10,-1.26379e+11,-4.71047e+10,35004.5,-11219.5,-6816.73,0.000797039,-0.00205556,0.00445207,
169.5,0.000312423,-0.000922052,0.000322165,0.0134767,-0.0390534,0.0134847,0.999055,1.68788e-07,-5.44365e-07,1.96941e-07,0.000102547,107286,-1.09298e+06,7.14647e+06,-7401.41,527.291,191.371,-7347.49,739.072,750.828,1.4192,0.687695,873122,-107286,1.09298e+06,-7.14647e+06,7401.41,-527.291,-191.371,-638879,910279,-7.14433e+06,7347.49,-739.072,-750.828,-5.23736e+10,-1.26515e+11,-5.48526e+10,35725,-10121.3,-4350.65,-5.97707e+10,-1.26376e+11,-4.70575e+10,34999.9,-11226.7,-6827.34,0.00104203,0.000447891,0.00275188,
170,0.000313266,-0.000924774,0.00032315,0.0135548,-0.0392841,0.0135652,0.999044,1.68617e-07,-5.44367e-07,1.96965e-07,0.000102848,103585,-1.09272e+06,7.14657e+06,-7401.47,527.864,187.612,-7347.36,740.852,750.347,1.41928,0.684326,873122,-103585,1.09272e+06,-7.14657e+06,7401.47,-527.864,-187.612,-638357,908894,-7.14455e+06,7347.36,-740.852,-750.347,-5.23736e+10,-1.26515e+11,-5.48526e+10,35725,-10121.9,-4346.89,-5.98128e+10,-1.26374e+11,-4.70101e+10,34995.2,-11233.9,-6837.98,-0.0013153,-0.00038219,0.0034275,
170.5,0.000314109,-0.000927496,0.000324135,0.0136331,-0.0395154,0.013646,0.999033,1.68445e-07,-5.4437e-07,1.96989e-07,0.000103149,99884.1,-1.09245e+06,7.14666e+06,-7401.52,528.437,183.853,-7347.23,742.635,749.875,1.41937,0.680954,873123,-99884.1,1.09245e+06,-7.14666e+06,7401.52,-528.437,-183.853,-637845,907506,-7.14477e+06,7347.23,-742.635,-749.875,-5.23736e+10,-1.26515e+11,-5.48526e+10,35725.1,-10122.4,-4343.13,-5.9855e+10,-1.26372e+11,-4.69626e+10,34990.6,-11241.1,-6848.66,0.00168295,-0.000654617,0.00253136,
171,0.000314951,-0.000930218,0.00032512,0.0137117,-0.0397475,0.013727,0.999021,1.68272e-07,-5.44372e-07,1.97012e-07,0.000103451,96183.2,-1.09219e+06,7.14675e+06,-7401.57,529.01,180.094,-7347.09,744.421,749.412,1.41945,0.677578,873123,-96183.2,1.09219e+06,-7.14675e+06,7401.57,-529.01,-180.094,-637343,906114,-7.14499e+06,7347.09,-744.421,-749.412,-5.23736e+10,-1.26515e+11,-5.48526e+10,35725.1,-10123,-4339.37,-5.98973e+10,-1.2637e+11,-4.69149e+10,34985.9,-11248.3,-6859.38,0.000648637,-0.00131397,0.000186592,
